sample_id,modality,rank,start_index,end_index,impact_score,source_video,source_type,start_sec,end_sec,frame_start,frame_end,fps,text_evidence,text_time_source
01,text,1,40,44,0.07211963087320328,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_4_explainability_videos_and_features\attachment_4_explainability_videos_and_features\aligned\01.mp4,attachment4_video,,,,,0.0,Replacing these wear components when replacing the timing belt is essential to ensuring the new belt performs to its mileage requirements,raw_text; aligned relative window
01,text,2,5,9,0.0588572733104229,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_4_explainability_videos_and_features\attachment_4_explainability_videos_and_features\aligned\01.mp4,attachment4_video,,,,,0.0,Replacing these wear components when replacing the timing belt is essential to ensuring the new belt performs to its mileage requirements,raw_text; aligned relative window
01,text,3,25,29,0.05245378986001015,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_4_explainability_videos_and_features\attachment_4_explainability_videos_and_features\aligned\01.mp4,attachment4_video,,,,,0.0,Replacing these wear components when replacing the timing belt is essential to ensuring the new belt performs to its mileage requirements,raw_text; aligned relative window
01,audio,1,20,24,0.04825258627533913,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_4_explainability_videos_and_features\attachment_4_explainability_videos_and_features\aligned\01.mp4,attachment4_video,,,,,0.0,,
01,audio,2,10,14,0.021365167573094368,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_4_explainability_videos_and_features\attachment_4_explainability_videos_and_features\aligned\01.mp4,attachment4_video,,,,,0.0,,
01,audio,3,0,4,0.019650235772132874,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_4_explainability_videos_and_features\attachment_4_explainability_videos_and_features\aligned\01.mp4,attachment4_video,,,,,0.0,,
01,vision,1,5,9,0.028505414724349976,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_4_explainability_videos_and_features\attachment_4_explainability_videos_and_features\aligned\01.mp4,attachment4_video,,,,,0.0,,
01,vision,2,25,29,0.02165669947862625,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_4_explainability_videos_and_features\attachment_4_explainability_videos_and_features\aligned\01.mp4,attachment4_video,,,,,0.0,,
01,vision,3,40,44,0.021393125876784325,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_4_explainability_videos_and_features\attachment_4_explainability_videos_and_features\aligned\01.mp4,attachment4_video,,,,,0.0,,
02,text,1,35,39,0.049036767333745956,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_4_explainability_videos_and_features\attachment_4_explainability_videos_and_features\aligned\02.mp4,attachment4_video,,,,,0.0,We want to live by each other’s happiness - not by each other’s misery.,raw_text; aligned relative window
02,text,2,5,9,0.03837237134575844,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_4_explainability_videos_and_features\attachment_4_explainability_videos_and_features\aligned\02.mp4,attachment4_video,,,,,0.0,We want to live by each other’s happiness - not by each other’s misery.,raw_text; aligned relative window
02,text,3,45,49,0.02483411505818367,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_4_explainability_videos_and_features\attachment_4_explainability_videos_and_features\aligned\02.mp4,attachment4_video,,,,,0.0,We want to live by each other’s happiness - not by each other’s misery.,raw_text; aligned relative window
02,audio,1,5,9,0.014188677072525024,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_4_explainability_videos_and_features\attachment_4_explainability_videos_and_features\aligned\02.mp4,attachment4_video,,,,,0.0,,
02,audio,2,30,34,0.002822035690769553,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_4_explainability_videos_and_features\attachment_4_explainability_videos_and_features\aligned\02.mp4,attachment4_video,,,,,0.0,,
