sample_id,token_index,token,start_sec,end_sec,window_index,time_source
'-3g5yACwYnA_13,0,They've,0.0,0.33958333333333335,1,inferred_uniform_text_timing
'-3g5yACwYnA_13,1,been,0.33958333333333335,0.6791666666666667,4,inferred_uniform_text_timing
'-3g5yACwYnA_13,2,able,0.6791666666666667,1.01875,7,inferred_uniform_text_timing
'-3g5yACwYnA_13,3,to,1.01875,1.3583333333333334,10,inferred_uniform_text_timing
'-3g5yACwYnA_13,4,find,1.3583333333333334,1.6979166666666667,14,inferred_uniform_text_timing
'-3g5yACwYnA_13,5,solutions,1.6979166666666667,2.0375,17,inferred_uniform_text_timing
'-3g5yACwYnA_13,6,or,2.0375,2.377083333333333,20,inferred_uniform_text_timing
'-3g5yACwYnA_13,7,at,2.377083333333333,2.716666666666667,23,inferred_uniform_text_timing
'-3g5yACwYnA_13,8,least,2.716666666666667,3.0562500000000004,26,inferred_uniform_text_timing
'-3g5yACwYnA_13,9,bring,3.0562500000000004,3.3958333333333335,29,inferred_uniform_text_timing
'-3g5yACwYnA_13,10,some,3.3958333333333335,3.7354166666666666,32,inferred_uniform_text_timing
'-3g5yACwYnA_13,11,answers,3.7354166666666666,4.075,35,inferred_uniform_text_timing
'-3g5yACwYnA_13,12,to,4.075,4.414583333333334,39,inferred_uniform_text_timing
'-3g5yACwYnA_13,13,the,4.414583333333334,4.754166666666666,42,inferred_uniform_text_timing
'-3g5yACwYnA_13,14,table,4.754166666666666,5.09375,45,inferred_uniform_text_timing
'-3g5yACwYnA_13,15,.,5.09375,5.433333333333334,48,inferred_uniform_text_timing
'-3g5yACwYnA_3,0,We're,0.0,0.44895833333333335,0,inferred_uniform_text_timing
'-3g5yACwYnA_3,1,a,0.44895833333333335,0.8979166666666667,2,inferred_uniform_text_timing
'-3g5yACwYnA_3,2,huge,0.8979166666666667,1.346875,3,inferred_uniform_text_timing
'-3g5yACwYnA_3,3,user,1.346875,1.7958333333333334,5,inferred_uniform_text_timing
'-3g5yACwYnA_3,4,of,1.7958333333333334,2.244791666666667,7,inferred_uniform_text_timing
'-3g5yACwYnA_3,5,adhesives,2.244791666666667,2.69375,8,inferred_uniform_text_timing
'-3g5yACwYnA_3,6,for,2.69375,3.142708333333333,10,inferred_uniform_text_timing
'-3g5yACwYnA_3,7,our,3.142708333333333,3.591666666666667,11,inferred_uniform_text_timing
'-3g5yACwYnA_3,8,operation,3.591666666666667,4.040625,13,inferred_uniform_text_timing
'-3g5yACwYnA_3,9,",",4.040625,4.489583333333334,14,inferred_uniform_text_timing
'-3g5yACwYnA_3,10,called,4.489583333333334,4.938541666666667,16,inferred_uniform_text_timing
'-3g5yACwYnA_3,11,flocking,4.938541666666667,5.3875,17,inferred_uniform_text_timing
'-3g5yACwYnA_3,12,",",5.3875,5.836458333333334,19,inferred_uniform_text_timing
'-3g5yACwYnA_3,13,and,5.836458333333334,6.285416666666666,21,inferred_uniform_text_timing
'-3g5yACwYnA_3,14,we,6.285416666666666,6.734375,22,inferred_uniform_text_timing
'-3g5yACwYnA_3,15,don't,6.734375,7.183333333333334,24,inferred_uniform_text_timing
'-3g5yACwYnA_3,16,have,7.183333333333334,7.632291666666667,25,inferred_uniform_text_timing
'-3g5yACwYnA_3,17,the,7.632291666666667,8.08125,27,inferred_uniform_text_timing
'-3g5yACwYnA_3,18,technical,8.08125,8.530208333333334,28,inferred_uniform_text_timing
'-3g5yACwYnA_3,19,inside,8.530208333333334,8.979166666666668,30,inferred_uniform_text_timing
'-3g5yACwYnA_3,20,compounding,8.979166666666668,9.428125,32,inferred_uniform_text_timing
'-3g5yACwYnA_3,21,or,9.428125,9.877083333333333,33,inferred_uniform_text_timing
'-3g5yACwYnA_3,22,the,9.877083333333333,10.326041666666667,35,inferred_uniform_text_timing
'-3g5yACwYnA_3,23,technical,10.326041666666667,10.775,36,inferred_uniform_text_timing
'-3g5yACwYnA_3,24,expertise,10.775,11.223958333333334,38,inferred_uniform_text_timing
'-3g5yACwYnA_3,25,to,11.223958333333334,11.672916666666667,39,inferred_uniform_text_timing
'-3g5yACwYnA_3,26,do,11.672916666666667,12.121875000000001,41,inferred_uniform_text_timing
'-3g5yACwYnA_3,27,these,12.121875000000001,12.570833333333333,42,inferred_uniform_text_timing
'-3g5yACwYnA_3,28,types,12.570833333333333,13.019791666666666,44,inferred_uniform_text_timing
'-3g5yACwYnA_3,29,of,13.019791666666666,13.46875,46,inferred_uniform_text_timing
'-3g5yACwYnA_3,30,things,13.46875,13.917708333333334,47,inferred_uniform_text_timing
'-3g5yACwYnA_3,31,.,13.917708333333334,14.366666666666667,49,inferred_uniform_text_timing
'-3g5yACwYnA_2,0,Key,0.0,0.6177777777777779,1,inferred_uniform_text_timing
'-3g5yACwYnA_2,1,Polymer,0.6177777777777779,1.2355555555555557,5,inferred_uniform_text_timing
'-3g5yACwYnA_2,2,brings,1.2355555555555557,1.8533333333333337,8,inferred_uniform_text_timing
'-3g5yACwYnA_2,3,a,1.8533333333333337,2.4711111111111115,11,inferred_uniform_text_timing
'-3g5yACwYnA_2,4,technical,2.4711111111111115,3.088888888888889,15,inferred_uniform_text_timing
'-3g5yACwYnA_2,5,aspect,3.088888888888889,3.7066666666666674,18,inferred_uniform_text_timing
'-3g5yACwYnA_2,6,to,3.7066666666666674,4.3244444444444445,21,inferred_uniform_text_timing
'-3g5yACwYnA_2,7,our,4.3244444444444445,4.942222222222223,25,inferred_uniform_text_timing
'-3g5yACwYnA_2,8,operation,4.942222222222223,5.5600000000000005,28,inferred_uniform_text_timing
'-3g5yACwYnA_2,9,that,5.5600000000000005,6.177777777777778,31,inferred_uniform_text_timing
'-3g5yACwYnA_2,10,we,6.177777777777778,6.795555555555556,35,inferred_uniform_text_timing
'-3g5yACwYnA_2,11,don't,6.795555555555556,7.413333333333335,38,inferred_uniform_text_timing
'-3g5yACwYnA_2,12,have,7.413333333333335,8.031111111111112,41,inferred_uniform_text_timing
'-3g5yACwYnA_2,13,internally,8.031111111111112,8.648888888888889,44,inferred_uniform_text_timing
'-3g5yACwYnA_2,14,.,8.648888888888889,9.266666666666667,48,inferred_uniform_text_timing
'-3g5yACwYnA_9,0,We,0.0,0.31309523809523815,0,inferred_uniform_text_timing
'-3g5yACwYnA_9,1,have,0.31309523809523815,0.6261904761904763,2,inferred_uniform_text_timing
'-3g5yACwYnA_9,2,many,0.6261904761904763,0.9392857142857144,4,inferred_uniform_text_timing
'-3g5yACwYnA_9,3,new,0.9392857142857144,1.2523809523809526,6,inferred_uniform_text_timing
'-3g5yACwYnA_9,4,opportunities,1.2523809523809526,1.5654761904761905,8,inferred_uniform_text_timing
'-3g5yACwYnA_9,5,through,1.5654761904761905,1.8785714285714288,9,inferred_uniform_text_timing
'-3g5yACwYnA_9,6,the,1.8785714285714288,2.191666666666667,11,inferred_uniform_text_timing
'-3g5yACwYnA_9,7,way,2.191666666666667,2.504761904761905,13,inferred_uniform_text_timing
'-3g5yACwYnA_9,8,things,2.504761904761905,2.817857142857143,15,inferred_uniform_text_timing
'-3g5yACwYnA_9,9,have,2.817857142857143,3.130952380952381,16,inferred_uniform_text_timing
'-3g5yACwYnA_9,10,changed,3.130952380952381,3.4440476190476192,18,inferred_uniform_text_timing
'-3g5yACwYnA_9,11,through,3.4440476190476192,3.7571428571428576,20,inferred_uniform_text_timing
'-3g5yACwYnA_9,12,the,3.7571428571428576,4.070238095238095,22,inferred_uniform_text_timing
'-3g5yACwYnA_9,13,years,4.070238095238095,4.383333333333334,24,inferred_uniform_text_timing
'-3g5yACwYnA_9,14,",",4.383333333333334,4.696428571428571,25,inferred_uniform_text_timing
'-3g5yACwYnA_9,15,looking,4.696428571428571,5.00952380952381,27,inferred_uniform_text_timing
'-3g5yACwYnA_9,16,for,5.00952380952381,5.322619047619049,29,inferred_uniform_text_timing
'-3g5yACwYnA_9,17,new,5.322619047619049,5.635714285714286,31,inferred_uniform_text_timing
'-3g5yACwYnA_9,18,niche,5.635714285714286,5.948809523809524,33,inferred_uniform_text_timing
'-3g5yACwYnA_9,19,high,5.948809523809524,6.261904761904762,34,inferred_uniform_text_timing
'-3g5yACwYnA_9,20,'-,6.261904761904762,6.575000000000001,36,inferred_uniform_text_timing
'-3g5yACwYnA_9,21,end,6.575000000000001,6.8880952380952385,38,inferred_uniform_text_timing
'-3g5yACwYnA_9,22,",",6.8880952380952385,7.201190476190477,40,inferred_uniform_text_timing
'-3g5yACwYnA_9,23,value,7.201190476190477,7.514285714285715,41,inferred_uniform_text_timing
'-3g5yACwYnA_9,24,'-,7.514285714285715,7.827380952380953,43,inferred_uniform_text_timing
