sample_id,modality,rank,start_index,end_index,impact_score,source_video,source_type,start_sec,end_sec,frame_start,frame_end,fps,text_evidence,text_time_source
01,text,1,40,44,0.08697827905416489,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_4_explainability_videos_and_features\attachment_4_explainability_videos_and_features\aligned\videos\01.mp4,attachment4_video,7.2,8.1,216,242,30.0,Replacing these wear components when replacing the timing belt is essential to ensuring the new belt performs to its mileage requirements,raw_text; aligned relative window
01,text,2,15,19,0.03029928170144558,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_4_explainability_videos_and_features\attachment_4_explainability_videos_and_features\aligned\videos\01.mp4,attachment4_video,2.7,3.6,81,107,30.0,Replacing these wear components when replacing the timing belt is essential to ensuring the new belt performs to its mileage requirements,raw_text; aligned relative window
01,text,3,5,9,0.027934817597270012,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_4_explainability_videos_and_features\attachment_4_explainability_videos_and_features\aligned\videos\01.mp4,attachment4_video,0.9,1.8,27,53,30.0,Replacing these wear components when replacing the timing belt is essential to ensuring the new belt performs to its mileage requirements,raw_text; aligned relative window
01,audio,1,10,14,0.05187037214636803,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_4_explainability_videos_and_features\attachment_4_explainability_videos_and_features\aligned\videos\01.mp4,attachment4_video,1.8,2.7,54,80,30.0,,
01,audio,2,20,24,0.04492194950580597,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_4_explainability_videos_and_features\attachment_4_explainability_videos_and_features\aligned\videos\01.mp4,attachment4_video,3.6,4.5,108,134,30.0,,
01,audio,3,45,49,0.013471096754074097,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_4_explainability_videos_and_features\attachment_4_explainability_videos_and_features\aligned\videos\01.mp4,attachment4_video,8.1,9.0,243,269,30.0,,
01,vision,1,5,9,0.030838409438729286,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_4_explainability_videos_and_features\attachment_4_explainability_videos_and_features\aligned\videos\01.mp4,attachment4_video,0.9,1.8,27,53,30.0,,
01,vision,2,25,29,0.02425512857735157,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_4_explainability_videos_and_features\attachment_4_explainability_videos_and_features\aligned\videos\01.mp4,attachment4_video,4.5,5.4,135,161,30.0,,
01,vision,3,40,44,0.023922715336084366,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_4_explainability_videos_and_features\attachment_4_explainability_videos_and_features\aligned\videos\01.mp4,attachment4_video,7.2,8.1,216,242,30.0,,
02,text,1,35,39,0.04928199574351311,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_4_explainability_videos_and_features\attachment_4_explainability_videos_and_features\aligned\videos\02.mp4,attachment4_video,2.52,2.88,75,85,30.0,We want to live by each other’s happiness - not by each other’s misery.,raw_text; aligned relative window
