sample_id,modality,rank,start_index,end_index,impact_score,source_video,source_type,start_sec,end_sec,frame_start,frame_end,fps,text_evidence,text_time_source,source_exists,mapping_status
01,text,1,10,14,0.024530980736017227,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_4_explainability_videos_and_features\attachment_4_explainability_videos_and_features\aligned\videos\01.mp4,attachment4_video,1.8,2.7,54,80,30.0,Replacing these wear components when replacing the timing belt is essential to ensuring the new belt performs to its mileage requirements,raw_text; aligned relative window,True,mapped_to_video
01,text,2,45,49,0.01952977478504181,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_4_explainability_videos_and_features\attachment_4_explainability_videos_and_features\aligned\videos\01.mp4,attachment4_video,8.1,9.0,243,269,30.0,Replacing these wear components when replacing the timing belt is essential to ensuring the new belt performs to its mileage requirements,raw_text; aligned relative window,True,mapped_to_video
01,text,3,35,39,0.011986310593783855,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_4_explainability_videos_and_features\attachment_4_explainability_videos_and_features\aligned\videos\01.mp4,attachment4_video,6.3,7.2,189,215,30.0,Replacing these wear components when replacing the timing belt is essential to ensuring the new belt performs to its mileage requirements,raw_text; aligned relative window,True,mapped_to_video
01,audio,1,10,14,0.01658240705728531,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_4_explainability_videos_and_features\attachment_4_explainability_videos_and_features\aligned\videos\01.mp4,attachment4_video,1.8,2.7,54,80,30.0,,,True,mapped_to_video
01,audio,2,25,29,0.009205370210111141,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_4_explainability_videos_and_features\attachment_4_explainability_videos_and_features\aligned\videos\01.mp4,attachment4_video,4.5,5.4,135,161,30.0,,,True,mapped_to_video
01,audio,3,40,44,0.009085354395210743,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_4_explainability_videos_and_features\attachment_4_explainability_videos_and_features\aligned\videos\01.mp4,attachment4_video,7.2,8.1,216,242,30.0,,,True,mapped_to_video
01,vision,1,15,19,0.006759138777852058,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_4_explainability_videos_and_features\attachment_4_explainability_videos_and_features\aligned\videos\01.mp4,attachment4_video,2.7,3.6,81,107,30.0,,,True,mapped_to_video
01,vision,2,5,9,0.004822072573006153,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_4_explainability_videos_and_features\attachment_4_explainability_videos_and_features\aligned\videos\01.mp4,attachment4_video,0.9,1.8,27,53,30.0,,,True,mapped_to_video
01,vision,3,25,29,0.002848763018846512,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_4_explainability_videos_and_features\attachment_4_explainability_videos_and_features\aligned\videos\01.mp4,attachment4_video,4.5,5.4,135,161,30.0,,,True,mapped_to_video
02,text,1,45,49,0.037140242755413055,D:\MCMM\23rd-MCMM\E-q\dataset\attachment_4_explainability_videos_and_features\attachment_4_explainability_videos_and_features\aligned\videos\02.mp4,attachment4_video,3.24,3.6,97,107,30.0,We want to live by each other’s happiness - not by each other’s misery.,raw_text; aligned relative window,True,mapped_to_video
